genre,rank_within_genre,tmdb_id,title,release_year,release_date,popularity,vote_average,vote_count,poster_url,overview,source_tmdb_genres,source_sort_orders
Comedy,20,991494,The SpongeBob Movie: Search for SquarePants,2025,2025-12-16,21.9019,6.85,307,https://image.tmdb.org/t/p/w500/xJnOMMsFASxNiFnG7v3TNIQ3ife.jpg,"Desperate to be a big guy, SpongeBob sets out to prove his bravery to Mr. Krabs by following The Flying Dutchman – a mysterious swashbuckling ghost pirate – on a seafaring adventure that takes him to the deepest depths of the deep sea, where no Sponge has gone before.",Comedy,primary_release_date.desc|popularity.desc
Comedy,21,1159206,Father Mother Sister Brother,2025,2025-12-01,4.1791,6.403,295,https://image.tmdb.org/t/p/w500/96O3Ol3f2veMxAxYqsML8rOumB9.jpg,"Estranged siblings reunite after years apart, forced to confront unresolved tensions and reevaluate their strained relationships with their emotionally distant parents.",Comedy,primary_release_date.desc
Comedy,22,1084242,Zootopia 2,2025,2025-11-26,72.2435,7.671,2993,https://image.tmdb.org/t/p/w500/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",Comedy,primary_release_date.desc|popularity.desc
Comedy,23,812583,Wake Up Dead Man: A Knives Out Mystery,2025,2025-11-26,10.4972,7.206,2565,https://image.tmdb.org/t/p/w500/qCOGGi8JBVEZMc3DVby8rUivyXz.jpg,"When young priest Jud Duplenticy is sent to assist charismatic firebrand Monsignor Jefferson Wicks, it’s clear that all is not well in the pews. After a sudden and seemingly impossible murder rocks the town, the lack of an obvious suspect prompts local police chief Geraldine Scott to join forces with renowned detective Benoit Blanc to unravel a mystery that defies all logic.",Comedy,primary_release_date.desc
Comedy,24,1218762,Jingle Bell Heist,2025,2025-11-25,1.0475,6.025,256,https://image.tmdb.org/t/p/w500/rVOQF2Ucekug1B80A9crVx7Jn90.jpg,Two down-on-their-luck hourly workers team up to rob a posh London department store on Christmas Eve. Will they steal each other's hearts along the way?,Comedy,primary_release_date.desc
Comedy,25,1208348,Rental Family,2025,2025-11-20,5.2382,7.7,865,https://image.tmdb.org/t/p/w500/A5lswNlytTUrnMWsuD0NFfhZlf3.jpg,"An American actor in Tokyo struggles to find purpose until he lands an unusual gig: working for a Japanese 'rental family' agency, playing stand-in roles for strangers. As he immerses himself in his clients' worlds, he begins to form genuine bonds that blur the lines between performance and reality.",Comedy,primary_release_date.desc
Comedy,26,1069905,Jay Kelly,2025,2025-11-14,3.7226,6.177,426,https://image.tmdb.org/t/p/w500/lEXYpY9X17pGC7xYYy17Guv0L3J.jpg,"Famous movie actor Jay Kelly embarks on a journey of self-discovery, confronting both his past and present, accompanied by his devoted manager, Ron.",Comedy,primary_release_date.desc
Comedy,27,1363123,The Family Plan 2,2025,2025-11-11,9.031,6.534,594,https://image.tmdb.org/t/p/w500/semFxuYx6HcrkZzslgAkBqfJvZk.jpg,"Now that Dan's assassin days are behind him, all he wants for Christmas is quality time with his kids. But when he learns his daughter has her own plans, he books a family trip to London—putting them all in the crosshairs of an unexpected enemy.",Comedy,primary_release_date.desc
Comedy,28,1259102,Eternity,2025,2025-11-10,7.1192,7.1,703,https://image.tmdb.org/t/p/w500/yiwGcjfDKXD5PqQnyKUU9kspWQQ.jpg,"In an afterlife where souls have one week to decide where to spend eternity, Joan is faced with the impossible choice between the man she spent her life with and her first love, who died young and has waited decades for her to arrive.",Comedy,primary_release_date.desc
Comedy,29,1248226,Playdate,2025,2025-11-04,10.9146,6.108,612,https://image.tmdb.org/t/p/w500/fGodXWqJkkkbSebPIlxLSygV8GY.jpg,"When out-of-work accountant Brian joins stay-at-home dad Jeff for a playdate with their sons, he expects a laid-back afternoon. Instead, they're chased by mercenaries, and Brian—totally unprepared—must survive one absurd obstacle after another.",Comedy,primary_release_date.desc
Comedy,30,701387,Bugonia,2025,2025-10-23,9.6388,7.315,2017,https://image.tmdb.org/t/p/w500/oxgsAQDAAxA92mFGYCZllgWkH9J.jpg,"Two conspiracy obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth.",Comedy,primary_release_date.desc
Comedy,31,1299655,Blue Moon,2025,2025-10-17,5.5995,6.631,286,https://image.tmdb.org/t/p/w500/dVU7SNc6dgStTVdtbPLQncWxsyZ.jpg,"On the evening of March 31, 1943, legendary lyricist Lorenz Hart confronts his shattered self-confidence in Sardi’s bar as his former collaborator, Richard Rodgers, celebrates the opening night of his ground-breaking hit musical, “Oklahoma!”",Comedy,primary_release_date.desc
Comedy,32,1114967,Good Fortune,2025,2025-10-14,3.6131,6.903,659,https://image.tmdb.org/t/p/w500/rywxUbd4zvHiRP7nOHeDzuQSLIZ.jpg,A well-meaning but rather inept angel named Gabriel meddles in the lives of a struggling gig worker and a wealthy capitalist.,Comedy,primary_release_date.desc
Comedy,33,1277988,Caramelo,2025,2025-10-07,2.1804,7.749,281,https://image.tmdb.org/t/p/w500/c4ZEAah5a01cu27w7vT2IAoFogk.jpg,"After a life-changing diagnosis, a promising chef finds hope and humor with the help of a fur-midable dog friend.",Comedy,primary_release_date.desc
Comedy,34,1242419,Roofman,2025,2025-10-06,7.3243,7.085,842,https://image.tmdb.org/t/p/w500/wXDFtcnYtevleGzCmAD2ReQnJ4l.jpg,"A former Army Ranger and struggling father turns to robbing McDonald’s restaurants by cutting holes in their roofs, earning him the nickname ""Roofman."" After escaping prison, he secretly lives inside a Toys “R” Us for six months, surviving undetected while planning his next move. But when he falls for a divorced mom drawn to his undeniable charm, his double life begins to unravel, setting off a compelling and suspenseful game of cat and mouse as his past closes in.",Comedy,primary_release_date.desc
Comedy,35,639988,No Other Choice,2025,2025-09-24,8.6926,7.5,1115,https://image.tmdb.org/t/p/w500/vc2S0dvgpsM0XfSiXZDMVkRCSSU.jpg,"After being laid off and humiliated by a ruthless job market, a veteran paper mill manager descends into violence in a desperate bid to reclaim his dignity.",Comedy,primary_release_date.desc
Comedy,36,1054867,One Battle After Another,2025,2025-09-23,16.1172,7.35,3828,https://image.tmdb.org/t/p/w500/lbBWwxBht4JFP5PsuJ5onpMqugW.jpg,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.",Comedy,primary_release_date.desc|popularity.desc
Comedy,37,1161617,Code 3,2025,2025-09-12,4.8628,7.086,285,https://image.tmdb.org/t/p/w500/gIAYMDb5mIAeCAj76q1sRsKjkzo.jpg,A burned-out paramedic tries to survive his last 24 hours on the job while training a new recruit.,Comedy,primary_release_date.desc
